Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Memory Size,Memory Type,CAS Latency,Speed
RAM,F4-3200C16D-16GTZR,G.SKILL,Trident Z RGB,40,83.8,244452,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB,2x8GB,DDR4,C16,3200
RAM,CMK16GX4M4A2400C14,Corsair,Vengeance LPX,41,83.6,3864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533,4x4GB,DDR4,C14,2400
RAM,CMK16GX4M4A2400C14B,Corsair,Vengeance LPX,41,83.6,3864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533,4x4GB,DDR4,C14,2400
RAM,CMK16GX4M4A2400C14R,Corsair,Vengeance LPX,41,83.6,3864,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533,4x4GB,DDR4,C14,2400
RAM,HX426C15FBK2/8,HyperX,Fury,42,83.5,28691,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556,2x4GB,DDR4,C15,2666
RAM,HX426C13PB3K2/16,HyperX,Predator,43,83,7026,https://ram.userbenchmark.com/SpeedTest/318273/Kingston-KHX2666C138GX-2x8GB,2x8GB,"",C13,2666
RAM,CMU16GX4M2C3000C15,Corsair,Vengeance LED,44,82.8,34262,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,CMU16GX4M2C3000C15B,Corsair,Vengeance LED,44,82.8,34262,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,CMU16GX4M2C3000C15R,Corsair,Vengeance LED,44,82.8,34262,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3000
RAM,HX424C15FBK4/16,HyperX,Fury,45,82.7,11283,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-4x4GB/Rating/3585,4x4GB,DDR4,C15,2400
RAM,CMD16GX4M2B3000C15,Corsair,Dominator,46,82.5,13692,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597,2x8GB,DDR4,C15,3000
RAM,CMW16GX4M2C3000C15,Corsair,Vengeance RGB PRO,47,82.3,93839,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB,2x8GB,DDR4,C15,3200
RAM,CMK16GX4M2B3000C15,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMK16GX4M2B3000C15B,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMK16GX4M2B3000C15R,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
RAM,CMK16GX4M2B3000C15W,Corsair,Vengeance LPX,48,82.3,576174,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,2x8GB,DDR4,C15,3000
