Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Xeon W3550,429,66.3,7383,https://cpu.userbenchmark.com/SpeedTest/3628/IntelR-XeonR-CPU-----------W3550----307GHz
CPU,,Intel,Core i7 930,430,66.2,20531,https://cpu.userbenchmark.com/SpeedTest/79/IntelR-CoreTM-i7-CPU---------930----280GHz
CPU,FD8350FRHKBOX,AMD,FX-8350,431,66.2,300489,https://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489
CPU,BX80677I37300T,Intel,Core i3-7300T,432,66.2,73,https://cpu.userbenchmark.com/SpeedTest/230231/IntelR-CoreTM-i3-7300T-CPU---350GHz
CPU,,Intel,Core i7-3740QM,433,66.2,13980,https://cpu.userbenchmark.com/SpeedTest/2919/IntelR-CoreTM-i7-3740QM-CPU---270GHz
CPU,,Intel,Core i5 760,434,66.2,34326,https://cpu.userbenchmark.com/SpeedTest/717/IntelR-CoreTM-i5-CPU---------760----280GHz
CPU,BX80677I37100,Intel,Core i3-7100,435,66.1,85542,https://cpu.userbenchmark.com/Intel-Core-i3-7100/Rating/3891
CPU,,Intel,Core i7-4722HQ,436,66.1,213,https://cpu.userbenchmark.com/SpeedTest/32895/IntelR-CoreTM-i7-4722HQ-CPU---240GHz
CPU,BX80646I34370,Intel,Core i3-4370,437,66,1505,https://cpu.userbenchmark.com/Intel-Core-i3-4370/Rating/2817
CPU,,Intel,Core i7-3720QM,438,65.9,9759,https://cpu.userbenchmark.com/SpeedTest/1619/IntelR-CoreTM-i7-3720QM-CPU---260GHz
CPU,BX80662I36300,Intel,Core i3-6300,439,65.9,3644,https://cpu.userbenchmark.com/Intel-Core-i3-6300/Rating/3536
CPU,BX80677I57400T,Intel,Core i5-7400T,440,65.9,3900,https://cpu.userbenchmark.com/SpeedTest/244917/IntelR-CoreTM-i5-7400T-CPU---240GHz
CPU,,Intel,Xeon X3450,441,65.8,3568,https://cpu.userbenchmark.com/SpeedTest/10439/IntelR-XeonR-CPU-----------X3450----267GHz
CPU,,Intel,Core i5-4570R,442,65.7,986,https://cpu.userbenchmark.com/SpeedTest/6445/IntelR-CoreTM-i5-4570R-CPU---270GHz
CPU,CW8064701470702,Intel,Core i7-4700MQ,443,65.7,66877,https://cpu.userbenchmark.com/Intel-Core-i7-4700MQ/Rating/2727
CPU,,Intel,Xeon X3440,444,65.7,5958,https://cpu.userbenchmark.com/SpeedTest/6655/IntelR-XeonR-CPU-----------X3440----253GHz
CPU,,AMD,Ryzen 3 5400U,445,65.7,170,https://cpu.userbenchmark.com/SpeedTest/1535428/AMD-Ryzen-3-5400U-with-Radeon-Graphics
CPU,BX80646I34350,Intel,Core i3-4350,446,65.6,503,https://cpu.userbenchmark.com/Intel-Core-i3-4350/Rating/2433
CPU,BX80677G4620,Intel,Pentium G4620,447,65.6,3013,https://cpu.userbenchmark.com/Intel-Pentium-G4620/Rating/3895
CPU,,Intel,Core i5-10310U,448,65.5,3872,https://cpu.userbenchmark.com/SpeedTest/1150155/IntelR-CoreTM-i5-10310U-CPU---170GHz
