Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,61,234,2855,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,62,233,31961,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,63,232,144236,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,64,231,1311,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,65,230,8279,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,66,230,160909,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),67,229,24346,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,68,229,9994,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,69,227,50881,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,70,225,6444,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,71,222,3444,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,72,222,34004,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,73,220,66573,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,74,219,1047,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,75,219,15376,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,76,218,166112,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,77,217,155925,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,78,214,35247,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,CT1000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 1TB,79,210,33479,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,80,209,2458,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,81,208,60,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,MZ-V8V250B,Samsung,980 NVMe PCIe M.2 250GB,82,207,3521,https://ssd.userbenchmark.com/SpeedTest/1501500/Samsung-SSD-980-250GB
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,83,204,12047,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,84,201,216920,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
